"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USC00049219","VALLEJO, CA US","2025-01-01",,,,,"0.00",,,,"55","41","51",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-02",,,,,"0.00",,,,"60","44","59",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-03",,,,,"0.27",,,,"59","48","57",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-04",,,,,"0.00",,,,"57","44","54",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-05",,,,,"0.00",,,,"63","43","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-06",,,,,"0.00",,,,"60","46","58",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-07",,,,,"0.00",,,,"71","48","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-08",,,,,"0.00",,,,"68","48","65",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-09",,,,,"0.00",,,,"76","45","75",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-10",,,,,"0.00",,,,"75","34","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-11",,,,,"0.00",,,,"69","43","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-12",,,,,"0.00",,,,"69","46","68",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-13",,,,,"0.00",,,,"68","45","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-14",,,,,"0.00",,,,"62","41","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-15",,,,,"0.00",,,,"63","41","61",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-16",,,,,"0.00",,,,"65","40","64",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-17",,,,,"0.00",,,,"64","42","56",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-18",,,,,"0.00",,,,"61","41","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-19",,,,,"0.00",,,,"60","40","51",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-20",,,,,"0.00",,,,"67","36","67",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-21",,,,,"0.00",,,,"67","40","60",,,,,,,,
"USC00049219","VALLEJO, CA US","2025-01-22",,,,,"0.00",,,,"65","38","64",,,,,,,,
